-40C run 1
Vref = 4.999600
experiment 1: Low CM
neg,pos,LTC2449,HP3456
2.652,2.348,0.0606782995164,+3.03390640E-01
2.668,2.332,0.0670810341835,+3.35469440E-01
2.684,2.316,0.0734973046929,+3.67487190E-01
experiment 3: High CM
neg,pos,LTC2449,HP3456
4.6,5.0,-0.080060724169,-4.00204370E-01
4.616,4.984,-0.0736685898155,-3.68232290E-01
4.632,4.968,-0.0672632623464,-3.36216820E-01
4.648,4.952,-0.0608547907323,-3.04196860E-01
4.664,4.936,-0.054464654997,-2.72256300E-01
4.68,4.92,-0.0480721928179,-2.40300270E-01
4.696,4.904,-0.0416654311121,-2.08270440E-01
4.712,4.888,-0.0352745521814,-1.76327330E-01
4.728,4.872,-0.0288822613657,-1.44378020E-01
4.744,4.856,-0.0224778875709,-1.12359740E-01
4.76,4.84,-0.016073776409,-8.03601950E-02
4.776,4.824,-0.00968421064317,-4.84074380E-02
4.792,4.808,-0.00329041481018,-1.64627230E-02
4.808,4.792,0.00311877951026,+1.55679800E-02
4.824,4.776,0.00950776971877,+4.75323420E-02
4.84,4.76,0.0158999022096,+7.94560250E-02
4.856,4.744,0.0223070215434,+1.11511020E-01
4.872,4.728,0.0287071522325,+1.43538560E-01
4.888,4.712,0.0350993797183,+1.75457150E-01
4.904,4.696,0.0414896253496,+2.07442830E-01
4.92,4.68,0.0479050409049,+2.39470510E-01
4.936,4.664,0.0542963147163,+2.71377020E-01
4.952,4.648,0.0606802925467,+3.03329690E-01
4.968,4.632,0.0670861080289,+3.35350270E-01
4.984,4.616,0.0735023841262,+3.67369510E-01
>>> 
