Friday, December 5
Testing two additional boards
Board 1, direct MUXOUT / ADCIN connection
experiment 1: Single ended sweep
neg,pos,LTC2498,inmeter, refmeter, error (uV)
1.0,2.0,-0.100006064773,-1.00004560E+00,+5.00045070E+00,-93.192439393
1.04,1.96,-0.0920018758625,-9.20001310E-01,+5.00044940E+00,-89.09966496
1.08,1.92,-0.0840079113841,-8.40063070E-01,+5.00044690E+00,-81.0491489753
1.12,1.88,-0.0760127015412,-7.60112360E-01,+5.00044570E+00,-73.2915994249
1.16,1.84,-0.0680017057806,-6.80001780E-01,+5.00044820E+00,-68.0743172399
1.2,1.8,-0.0600052930415,-6.00042400E-01,+5.00044690E+00,-56.962500496
1.24,1.76,-0.052010115236,-5.20090830E-01,+5.00044940E+00,-50.8278264526
1.28,1.72,-0.0440155014396,-4.40145540E-01,+5.00044690E+00,-43.5335834393
1.32,1.68,-0.0360066771507,-3.60059120E-01,+5.00044570E+00,-35.427053092
1.36,1.64,-0.0280101764947,-2.80092920E-01,+5.00044820E+00,-30.5920426945
1.4,1.6,-0.0200152747333,-2.00145240E-01,+5.00045070E+00,-23.1472635869
1.44,1.56,-0.0120049159974,-1.20046270E-01,+5.00044690E+00,-12.1793758707
1.48,1.52,-0.00400959849358,-4.00928860E-02,+5.00044440E+00,-6.18151465898
1.52,1.48,0.00398601070046,+3.98614760E-02,+5.00044570E+00,1.70581275159
1.56,1.44,0.0119820080698,+1.19820460E-01,+5.00044940E+00,8.95228271827
1.6,1.4,0.0199907541275,+1.99907000E-01,+5.00044690E+00,16.0101172581
1.64,1.36,0.0279861222953,+2.79859150E-01,+5.00045070E+00,23.9413013796
1.68,1.32,0.0359821416438,+3.59819210E-01,+5.00045190E+00,30.4092299706
1.72,1.28,0.0439933158457,+4.39930470E-01,+5.00045070E+00,37.0648229845
1.76,1.24,0.0519875641912,+5.19869500E-01,+5.00044940E+00,46.6298154866
1.8,1.2,0.059983504191,+5.99829890E-01,+5.00045190E+00,52.1669638651
1.84,1.16,0.0679781910032,+6.79774170E-01,+5.00045070E+00,60.8581730285
1.88,1.12,0.0759891178459,+7.59883660E-01,+5.00045070E+00,66.8963361016
1.92,1.08,0.0839825246483,+8.39814290E-01,+5.00044940E+00,76.3620543388
1.96,1.04,0.0919782757759,+9.19770060E-01,+5.00044690E+00,83.8705336593
2.0,1.0,0.0999811552465,+9.99795330E-01,+5.00044570E+00,93.3479144429
experiment 3: +/-1V sweep, VCM = 2.5V
neg,pos,LTC2498,inmeter, refmeter, error (uV)
2.0,3.0,-0.100007977337,-1.00006060E+00,+5.00044570E+00,-96.3195064887
2.04,2.96,-0.0920056350529,-9.20027990E-01,+5.00044820E+00,-99.7936861438
2.08,2.92,-0.0840107671916,-8.40081770E-01,+5.00045190E+00,-91.7495318183
2.12,2.88,-0.0760148819536,-7.60123210E-01,+5.00045070E+00,-85.0075452102
2.16,2.84,-0.0680048622191,-6.80024460E-01,+5.00045190E+00,-77.4643825391
2.2,2.8,-0.0600101903081,-6.00077920E-01,+5.00044820E+00,-70.5749808865
2.24,2.76,-0.0520154640079,-5.20132590E-01,+5.00045320E+00,-62.9550229633
2.28,2.72,-0.0440197642893,-4.40178200E-01,+5.00044690E+00,-53.5053789171
2.32,2.68,-0.0360083766282,-3.60070340E-01,+5.00045570E+00,-41.9232973015
2.36,2.64,-0.0280136629939,-2.80123210E-01,+5.00045070E+00,-35.3098081494
2.4,2.6,-0.0200177963823,-2.00166180E-01,+5.00044940E+00,-27.373678387
2.44,2.56,-0.0120076749474,-1.20067590E-01,+5.00045190E+00,-18.5710860049
2.48,2.52,-0.00401170440018,-4.01168340E-02,+5.00045320E+00,-3.3648048872
2.52,2.48,0.00398249849677,+3.98295130E-02,+5.00045190E+00,-1.40655110695
2.56,2.44,0.0119777597487,+1.19776950E-01,+5.00044940E+00,9.97576356314
2.6,2.4,0.0199884995818,+1.99880320E-01,+5.00044820E+00,20.19488528
2.64,2.36,0.0279837455601,+2.79829610E-01,+5.00044940E+00,29.6393352297
2.68,2.32,0.0359793510288,+3.59779570E-01,+5.00044940E+00,41.9609984651
2.72,2.28,0.0439899954945,+4.39883850E-01,+5.00044820E+00,50.2587686944
2.76,2.24,0.0519861057401,+5.19838960E-01,+5.00045070E+00,62.7193303798
2.8,2.2,0.0599805656821,+5.99784890E-01,+5.00045190E+00,67.7795707883
2.84,2.16,0.0679750505835,+6.79729540E-01,+5.00045450E+00,74.5981260749
2.88,2.12,0.0759849902242,+7.59832550E-01,+5.00044820E+00,76.3469738796
2.92,2.08,0.0839819539338,+8.39800830E-01,+5.00045450E+00,84.971070781
2.96,2.04,0.0919762741774,+9.19741010E-01,+5.00045190E+00,93.8227517547
3.0,2.0,0.0999785557389,+9.99761800E-01,+5.00045190E+00,102.120552696
experiment 4: +/-1V sweep, VCM = 4.5V
neg,pos,LTC2498,inmeter, refmeter, error (uV)
4.0,5.0,-0.100014755502,-1.00013160E+00,+5.00044940E+00,-93.8464924556
4.04,4.96,-0.0920112598687,-9.20089070E-01,+5.00045320E+00,-95.8863130245
4.08,4.92,-0.0840163499117,-8.40140110E-01,+5.00045320E+00,-89.459547854
4.12,4.88,-0.0760206270963,-7.60185660E-01,+5.00045450E+00,-80.5912112796
4.16,4.84,-0.0680105403066,-6.80087040E-01,+5.00045190E+00,-71.6697077515
4.2,4.8,-0.0600158765912,-6.00140500E-01,+5.00045320E+00,-65.4623783959
4.24,4.76,-0.0520198337734,-5.20185570E-01,+5.00045190E+00,-53.5408646015
4.28,4.72,-0.0440245661885,-4.40234170E-01,+5.00045570E+00,-46.3329096408
4.32,4.68,-0.036014642939,-3.60136280E-01,+5.00044940E+00,-38.1975855119
4.36,4.64,-0.0280191518366,-2.80183920E-01,+5.00045320E+00,-29.6326184655
4.4,4.6,-0.0200232684612,-2.00227260E-01,+5.00045320E+00,-21.1709042493
4.44,4.56,-0.0120136301965,-1.20128550E-01,+5.00045070E+00,-17.1394120721
4.48,4.52,-0.00401751659811,-4.01699270E-02,+5.00045320E+00,-8.39835483441
